date,lat[unit="degrees_north"],lon[unit="degrees_east"],cft[unit="1"],dir[unit="degree"],mod[unit="m s-1"],prec[unit="kg m-2"],rh[unit="1"],t2m[unit="K"],u[unit="m s-1"],v[unit="m s-1"]
2012-03-09T17:00:00Z,43.339286234347675,-5.858834520544583,0,52.159122,3.865794,0,0.7623757,286.11075,-3.0528858,-2.3715503
2012-03-09T18:00:00Z,43.339286234347675,-5.858834520544583,0,55.922417,3.2490485,0,0.8391941,284.19495,-2.6911206,-1.8204907
2012-03-09T19:00:00Z,43.339286234347675,-5.858834520544583,0,58.633976,1.9674367,0,0.9183203,282.5526,-1.6799146,-1.0240576
2012-03-09T20:00:00Z,43.339286234347675,-5.858834520544583,0,50.39062,1.2267799,0,0.9251726,281.68057,-0.94512206,-0.7821338
2012-03-09T21:00:00Z,43.339286234347675,-5.858834520544583,0,32.817665,0.87575185,0,0.93557733,280.8703,-0.4746289,-0.73598146
2012-03-09T22:00:00Z,43.339286234347675,-5.858834520544583,0,86.75854,0.366228,0,0.93994653,280.2683,-0.3656421,-0.020708008
2012-03-09T23:00:00Z,43.339286234347675,-5.858834520544583,0,346.77704,0.20920628,0,0.93835473,279.86432,0.047854003,-0.20365967
2012-03-10T00:00:00Z,43.339286234347675,-5.858834520544583,0,272.70453,0.34883824,0,0.94311833,279.36307,0.3484497,-0.01645996
2012-03-10T01:00:00Z,43.339286234347675,-5.858834520544583,0,123.61147,0.6690773,0,0.9193004,279.17212,-0.5572144,0.37037355
2012-03-10T02:00:00Z,43.339286234347675,-5.858834520544583,1.0,96.837074,0.5987919,0,0.869691,279.21375,-0.5945337,0.07128418
2012-03-10T03:00:00Z,43.339286234347675,-5.858834520544583,1.0,107.3623,0.690878,0,0.8630469,279.63495,-0.6593994,0.206167
2012-03-10T04:00:00Z,43.339286234347675,-5.858834520544583,1.0,3.1795623,0.32356694,0,0.84553945,279.88593,-0.017946778,-0.32306886
2012-03-10T05:00:00Z,43.339286234347675,-5.858834520544583,0.98,59.588207,0.73035574,0,0.8444598,279.52075,-0.6298657,-0.36971435
2012-03-10T06:00:00Z,43.339286234347675,-5.858834520544583,0,124.54465,0.31929755,0,0.8448808,279.24524,-0.2630005,0.18105713
